Id_Vente;Date_vente;Valeur_fonciere;Id_bien
2020-000001;2020-01-02;165000;1
2020-000002;2020-01-02;355680;2
2020-000003;2020-01-02;229500;3
2020-000004;2020-01-02;125000;4
2020-000005;2020-01-02;90000;5
2020-000006;2020-01-02;93000;6
2020-000007;2020-01-02;298100;7
2020-000008;2020-01-02;163500;8
2020-000009;2020-01-02;53000;9
2020-000010;2020-01-02;136000;10
2020-000011;2020-01-02;125900;11
2020-000012;2020-01-02;234000;12
2020-000013;2020-01-02;46210;13
2020-000014;2020-01-02;129000;14
2020-000015;2020-01-02;122500;15
2020-000016;2020-01-02;86025;16
2020-000017;2020-01-02;79000;17
2020-000018;2020-01-02;81795;18
2020-000019;2020-01-02;156000;19
2020-000020;2020-01-02;139900;20
2020-000021;2020-01-02;163870;21
2020-000022;2020-01-02;108100;22
2020-000023;2020-01-02;205000;23
2020-000024;2020-01-02;94000;24
2020-000025;2020-01-02;149500;25
2020-000026;2020-01-02;111500;26
2020-000027;2020-01-02;140000;27
2020-000028;2020-01-02;122850;28
2020-000029;2020-01-02;135850;29
2020-000030;2020-01-02;135500;30
2020-000031;2020-01-02;71250;31
2020-000032;2020-01-02;107000;32
2020-000033;2020-01-02;148400;33
2020-000034;2020-01-02;132000;34
2020-000035;2020-01-02;107194;35
2020-000036;2020-01-02;57200;36
2020-000037;2020-01-02;124770;37
2020-000038;2020-01-02;67000;38
2020-000039;2020-01-02;150830;39
2020-000040;2020-01-02;68900;40
2020-000041;2020-01-02;120000;41
2020-000042;2020-01-02;135460;42
2020-000043;2020-01-02;62000;43
2020-000044;2020-01-02;281000;44
2020-000045;2020-01-02;357000;45
2020-000046;2020-01-02;374000;46
2020-000047;2020-01-02;1147650;47
2020-000048;2020-01-02;145000;48
2020-000049;2020-01-02;324120;49
2020-000050;2020-01-02;408220;50
2020-000051;2020-01-02;582670;51
2020-000052;2020-01-02;80000;52
2020-000053;2020-01-02;840250;53
2020-000054;2020-01-02;266000;54
2020-000055;2020-01-02;473000;55
2020-000056;2020-01-02;207200;56
2020-000057;2020-01-02;49000;57
2020-000058;2020-01-02;101250;58
2020-000059;2020-01-02;35000;59
2020-000060;2020-01-02;132000;60
2020-000061;2020-01-02;472950;61
2020-000062;2020-01-02;478161;62
2020-000063;2020-01-02;153700;63
2020-000064;2020-01-02;155800;64
2020-000065;2020-01-02;624000;65
2020-000066;2020-01-02;135700;66
2020-000067;2020-01-02;196000;67
2020-000068;2020-01-02;172850;68
2020-000069;2020-01-02;120500;69
2020-000070;2020-01-02;224000;70
2020-000071;2020-01-02;367000;71
2020-000072;2020-01-02;132840;72
2020-000073;2020-01-02;78500;73
2020-000074;2020-01-02;72000;74
2020-000075;2020-01-02;107100;75
2020-000076;2020-01-02;134000;76
2020-000077;2020-01-02;68181;77
2020-000078;2020-01-02;275900;78
2020-000079;2020-01-02;160000;79
2020-000080;2020-01-02;267740;80
2020-000081;2020-01-02;395300;81
2020-000082;2020-01-02;269000;82
2020-000083;2020-01-02;406400;83
2020-000084;2020-01-02;326500;84
2020-000085;2020-01-02;275050;85
2020-000086;2020-01-02;138000;86
2020-000087;2020-01-02;65000;87
2020-000088;2020-01-02;185750;88
2020-000089;2020-01-02;235000;89
2020-000090;2020-01-02;176000;90
2020-000091;2020-01-02;140000;91
2020-000092;2020-01-02;170950;92
2020-000093;2020-01-02;265000;93
2020-000094;2020-01-02;112000;94
2020-000095;2020-01-03;102000;95
2020-000096;2020-01-03;142000;96
2020-000097;2020-01-03;164000;97
2020-000098;2020-01-03;33880;98
2020-000099;2020-01-03;71000;99
2020-000100;2020-01-03;43000;100
2020-000101;2020-01-03;181875;101
2020-000102;2020-01-03;240250;102
2020-000103;2020-01-03;616900;103
2020-000104;2020-01-03;212550;104
2020-000105;2020-01-03;317800;105
2020-000106;2020-01-03;420000;106
2020-000107;2020-01-03;44000;107
2020-000108;2020-01-03;237720;108
2020-000109;2020-01-03;146000;109
2020-000110;2020-01-03;69350;110
2020-000111;2020-01-03;121000;111
2020-000112;2020-01-03;70000;112
2020-000113;2020-01-03;145000;113
2020-000114;2020-01-03;43000;114
2020-000115;2020-01-03;210800;115
2020-000116;2020-01-03;210000;116
2020-000117;2020-01-03;96000;117
2020-000118;2020-01-03;135000;118
2020-000119;2020-01-03;37000;119
2020-000120;2020-01-03;190000;120
2020-000121;2020-01-03;39450;121
2020-000122;2020-01-03;28500;122
2020-000123;2020-01-03;158800;123
2020-000124;2020-01-03;268800;124
2020-000125;2020-01-03;96450;125
2020-000126;2020-01-03;28000;126
2020-000127;2020-01-03;73470;127
2020-000128;2020-01-03;49500;128
2020-000129;2020-01-03;67000;129
2020-000130;2020-01-03;176000;130
2020-000131;2020-01-03;278300;131
2020-000132;2020-01-03;296651;132
2020-000133;2020-01-03;159500;133
2020-000134;2020-01-03;98545;134
2020-000135;2020-01-03;98200;135
2020-000136;2020-01-03;110500;136
2020-000137;2020-01-03;44500;137
2020-000138;2020-01-03;332000;138
2020-000139;2020-01-03;221060;139
2020-000140;2020-01-03;174845;140
2020-000141;2020-01-03;42000;141
2020-000142;2020-01-03;445000;142
2020-000143;2020-01-03;232750;143
2020-000144;2020-01-03;257800;144
2020-000145;2020-01-03;125000;145
2020-000146;2020-01-03;104792,58;146
2020-000147;2020-01-03;146000;147
2020-000148;2020-01-03;174000;148
2020-000149;2020-01-03;110000;149
2020-000150;2020-01-03;370700;150
2020-000151;2020-01-03;62800;151
2020-000152;2020-01-03;251105;152
2020-000153;2020-01-03;342700;153
2020-000154;2020-01-03;65000;154
2020-000155;2020-01-03;133000;155
2020-000156;2020-01-03;66370;156
2020-000157;2020-01-03;594700;157
2020-000158;2020-01-03;71000;158
2020-000159;2020-01-03;140000;159
2020-000160;2020-01-03;112000;160
2020-000161;2020-01-03;121000;161
2020-000162;2020-01-03;109950;162
2020-000163;2020-01-03;314500;163
2020-000164;2020-01-03;167600;164
2020-000165;2020-01-03;157080;165
2020-000166;2020-01-03;164720;166
2020-000167;2020-01-03;273080;167
2020-000168;2020-01-03;118650;168
2020-000169;2020-01-03;157000;169
2020-000170;2020-01-03;63885;170
2020-000171;2020-01-03;255000;171
2020-000172;2020-01-03;445000;172
2020-000173;2020-01-03;852000;173
2020-000174;2020-01-03;335000;174
2020-000175;2020-01-03;278500;175
2020-000176;2020-01-03;497270;176
2020-000177;2020-01-03;1469500;177
2020-000178;2020-01-03;270000;178
2020-000179;2020-01-03;434000;179
2020-000180;2020-01-03;352000;180
2020-000181;2020-01-03;512000;181
2020-000182;2020-01-03;246150;182
2020-000183;2020-01-03;573721;183
2020-000184;2020-01-03;917350;184
2020-000185;2020-01-03;625500;185
2020-000186;2020-01-03;673315;186
2020-000187;2020-01-03;707350;187
2020-000188;2020-01-03;461200;188
2020-000189;2020-01-03;502700;189
2020-000190;2020-01-03;276000;190
2020-000191;2020-01-03;638000;191
2020-000192;2020-01-03;196500;192
2020-000193;2020-01-03;34500;193
2020-000194;2020-01-03;116000;194
2020-000195;2020-01-03;93200;195
2020-000196;2020-01-03;142000;196
2020-000197;2020-01-03;98000;197
2020-000198;2020-01-03;172500;198
2020-000199;2020-01-03;141000;199
2020-000200;2020-01-03;440000;200
2020-000201;2020-01-03;131600;201
2020-000202;2020-01-03;205000;202
2020-000203;2020-01-03;93800;203
2020-000204;2020-01-03;135450;204
2020-000205;2020-01-03;102000;205
2020-000206;2020-01-03;185000;206
2020-000207;2020-01-03;196100;207
2020-000208;2020-01-03;212231;208
2020-000209;2020-01-03;113000;209
2020-000210;2020-01-03;331000;210
2020-000211;2020-01-03;93000;211
2020-000212;2020-01-03;596370;212
2020-000213;2020-01-03;97000;213
2020-000214;2020-01-03;305000;214
2020-000215;2020-01-03;99840;215
2020-000216;2020-01-03;150020;216
2020-000217;2020-01-03;300000;217
2020-000218;2020-01-03;121000;218
2020-000219;2020-01-03;148570;219
2020-000220;2020-01-03;105840;220
2020-000221;2020-01-03;138000;221
2020-000222;2020-01-03;33000;222
2020-000223;2020-01-03;40000;223
2020-000224;2020-01-03;56650;224
2020-000225;2020-01-03;160000;225
2020-000226;2020-01-03;360000;226
2020-000227;2020-01-03;171000;227
2020-000228;2020-01-03;213500;228
2020-000229;2020-01-03;157500;229
2020-000230;2020-01-03;255680;230
2020-000231;2020-01-03;244000;231
2020-000232;2020-01-03;435000;232
2020-000233;2020-01-03;254000;233
2020-000234;2020-01-03;284984;234
2020-000235;2020-01-03;302000;235
2020-000236;2020-01-03;548000;236
2020-000237;2020-01-03;877100;237
2020-000238;2020-01-03;213615;238
2020-000239;2020-01-03;300800;239
2020-000240;2020-01-03;857950;240
2020-000241;2020-01-03;380000;241
2020-000242;2020-01-03;318700;242
2020-000243;2020-01-03;256760;243
2020-000244;2020-01-03;291262;244
2020-000245;2020-01-03;161320;245
2020-000246;2020-01-03;164000;246
2020-000247;2020-01-03;662300;247
2020-000248;2020-01-03;227600;248
2020-000249;2020-01-03;312450;249
2020-000250;2020-01-03;348450;250
2020-000251;2020-01-03;298333;251
2020-000252;2020-01-03;326200;252
2020-000253;2020-01-03;349000;253
2020-000254;2020-01-03;43000;254
2020-000255;2020-01-03;192000;255
2020-000256;2020-01-03;142100;256
2020-000257;2020-01-03;572000;257
2020-000258;2020-01-03;130000;258
2020-000259;2020-01-03;134000;259
2020-000260;2020-01-03;209000;260
2020-000261;2020-01-03;378850;261
2020-000262;2020-01-03;440425;262
2020-000263;2020-01-03;331000;263
2020-000264;2020-01-03;410370;264
2020-000265;2020-01-03;145000;265
2020-000266;2020-01-03;218000;266
2020-000267;2020-01-03;269000;267
2020-000268;2020-01-03;374675;268
2020-000269;2020-01-03;163000;269
2020-000270;2020-01-03;224500;270
2020-000271;2020-01-03;159000;271
2020-000272;2020-01-03;195600;272
2020-000273;2020-01-03;240000;273
2020-000274;2020-01-03;174000;274
2020-000275;2020-01-04;84000;275
2020-000276;2020-01-04;76100;276
2020-000277;2020-01-04;67750;277
2020-000278;2020-01-04;75200;278
2020-000279;2020-01-04;176000;279
2020-000280;2020-01-04;123000;280
2020-000281;2020-01-04;87900;281
2020-000282;2020-01-04;57200;282
2020-000283;2020-01-04;74000;283
2020-000284;2020-01-06;285000;284
2020-000285;2020-01-06;429250;285
2020-000286;2020-01-06;196000;286
2020-000287;2020-01-06;443000;287
2020-000288;2020-01-06;170000;288
2020-000289;2020-01-06;128600;289
2020-000290;2020-01-06;81000;290
2020-000291;2020-01-06;335000;291
2020-000292;2020-01-06;212200;292
2020-000293;2020-01-06;643815;293
2020-000294;2020-01-06;113200;294
2020-000295;2020-01-06;88000;295
2020-000296;2020-01-06;99500;296
2020-000297;2020-01-06;90000;297
2020-000298;2020-01-06;68600;298
2020-000299;2020-01-06;52000;299
2020-000300;2020-01-06;207500;300
2020-000301;2020-01-06;237000;301
2020-000302;2020-01-06;72200;302
2020-000303;2020-01-06;318000;303
2020-000304;2020-01-06;330850;304
2020-000305;2020-01-06;144950;305
2020-000306;2020-01-06;144000;306
2020-000307;2020-01-06;82000;307
2020-000308;2020-01-06;298000;308
2020-000309;2020-01-06;91000;309
2020-000310;2020-01-06;265000;310
2020-000311;2020-01-06;197000;311
2020-000312;2020-01-06;375000;312
2020-000313;2020-01-06;104000;313
2020-000314;2020-01-06;173000;314
2020-000315;2020-01-06;275000;315
2020-000316;2020-01-06;160000;316
2020-000317;2020-01-06;110000;317
2020-000318;2020-01-06;53900;318
2020-000319;2020-01-06;206300;319
2020-000320;2020-01-06;72000;320
2020-000321;2020-01-06;188900;321
2020-000322;2020-01-06;65000;322
2020-000323;2020-01-06;149500;323
2020-000324;2020-01-06;150900;324
2020-000325;2020-01-06;90000;325
2020-000326;2020-01-06;106000;326
2020-000327;2020-01-06;86000;327
2020-000328;2020-01-06;46000;328
2020-000329;2020-01-06;72000;329
2020-000330;2020-01-06;88000;330
2020-000331;2020-01-06;137000;331
2020-000332;2020-01-06;360000;332
2020-000333;2020-01-06;33000;333
2020-000334;2020-01-06;122450;334
2020-000335;2020-01-06;99750;335
2020-000336;2020-01-06;153300;336
2020-000337;2020-01-06;172950;337
2020-000338;2020-01-06;71530;338
2020-000339;2020-01-06;78000;339
2020-000340;2020-01-06;204000;340
2020-000341;2020-01-06;155000;341
2020-000342;2020-01-06;134000;342
2020-000343;2020-01-06;97000;343
2020-000344;2020-01-06;162000;344
2020-000345;2020-01-06;142200;345
2020-000346;2020-01-06;214000;346
2020-000347;2020-01-06;240000;347
2020-000348;2020-01-06;120000;348
2020-000349;2020-01-06;75200;349
2020-000350;2020-01-06;33000;350
2020-000351;2020-01-06;31000;351
2020-000352;2020-01-06;43000;352
2020-000353;2020-01-06;44950;353
2020-000354;2020-01-06;138000;354
2020-000355;2020-01-06;221300;355
2020-000356;2020-01-06;291000;356
2020-000357;2020-01-06;145000;357
2020-000358;2020-01-06;106000;358
2020-000359;2020-01-06;87000;359
2020-000360;2020-01-06;127900;360
2020-000361;2020-01-06;47000;361
